page,title,nid,file_id,filename,alt,uses_elsewhere,confidence,why,src
"/learning/II/getting-started-ii","Getting Started with Interdisciplinary Instruction","","39009","Interdisciplinary Instruction - Professional Learning Getting Started with Interdisciplinary Instruction Banner_0.png","Student and teacher working together","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Interdisciplinary%20Instruction%20-%20Professional%20Learning%20Getting%20Started%20with%20Interdisciplinary%20Instruction%20Banner_0.png"
"/learning/II/inquiry-land","Getting Started with Inquiry","","39025","Interdisciplinary Instruction - Getting Started with Inquiry Banner.png","Children exploring with magnifying glasses","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Interdisciplinary%20Instruction%20-%20Getting%20Started%20with%20Inquiry%20Banner.png"
"/learning/II/inquiry-ml","Inquiry-Based Instruction & Multilingual Learners","","39305","Interdisciplinary Instruction Inquiry based Instructoin and multilingual learners banner_0.png","Children looking at a globe","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Interdisciplinary%20Instruction%20Inquiry%20based%20Instructoin%20and%20multilingual%20learners%20banner_0.png"
"/learning/II/interdisciplinaryprogression","The Interdisciplinary Progression","","43439","Interdisciplinary Instruction - Interdisciplinary Progression - Interdisciplinary Progression Banner - 2.28.2025 .png","Interdisciplinary Progression Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Interdisciplinary%20Instruction%20-%20Interdisciplinary%20Progression%20-%20Interdisciplinary%20Progression%20Banner%20-%202.28.2025%20.png"
"/learning/II/PL","Interdisciplinary Instruction Professional Learning","","49013","Interdisciplinary Instruction - Professional Learning Banner.png","Professional Learning Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Interdisciplinary%20Instruction%20-%20Professional%20Learning%20Banner.png"
"/learning/II/PL/neuroscience/execfunction","Executive Function Skills Supporting Literacy & Numeracy","","52019","Interdisciplinary Instruction - Executive Functioning Skills to Support Literacy and Numeracy Banner_0.jpg","Interdisciplinary Instruction - Executive Functioning Skills to Support Literacy and Numeracy Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Interdisciplinary%20Instruction%20-%20Executive%20Functioning%20Skills%20to%20Support%20Literacy%20and%20Numeracy%20Banner_0.jpg"
"/learning/II/PL/QFTcourse","Question Formulation Technique Course Information","","49641","Interdisciplinary Instruction - Question Formula Technique Course Information Banner.png","Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Interdisciplinary%20Instruction%20-%20Question%20Formula%20Technique%20Course%20Information%20Banner.png"
"/learning/II/steampowered","STEAM Powered Maine","","50413","Interdisciplinary Instruction - STEAM Powered Maine Landing Page Banner.jpg","STEAM PowerED Maine Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Interdisciplinary%20Instruction%20-%20STEAM%20Powered%20Maine%20Landing%20Page%20Banner.jpg"
"/learning/II/student-voice-choice","Voice and Choice","","52015","Interdisciplinary Instruction - Student Voice and Choice Banner.jpg","Student Voice Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Interdisciplinary%20Instruction%20-%20Student%20Voice%20and%20Choice%20Banner.jpg"
"/learning/ii/studentreflection","Student Reflection","","38887","student reflection banner.png","student reflection banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/student%20reflection%20banner.png"
"/learning/II/transfer","Teaching for Transfer ","","51889","Interdisciplinary Instruction - Teaching for Transfer Banner.jpg","Teaching for Transfer Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Interdisciplinary%20Instruction%20-%20Teaching%20for%20Transfer%20Banner.jpg"
"/learning/mathpathways","Math Pathways","","38803","Math Pathways - Website Banner.png","Math Pathways Website Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Math%20Pathways%20-%20Website%20Banner.png"
"/learning/mathpathways/contact","Math Pathways - Contact","","38745","Math Pathways - Contact Web Banner.png","Math Pathways Contact Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Math%20Pathways%20-%20Contact%20Web%20Banner.png"
